event_id,dataset_index,primary_count,primary_pdgs,multiplicity_group,particle_valid,particle_truth_id,particle_truth,particle_pred_id,particle_pred,particle_correct,particle_confidence,stop_truth,stop_probability,stop_pred
434945,23431,2,22;-13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9852912425994873,0,0.01092320866882801,0
183713,9971,4,22;13;2112;13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9842612743377686,0,4.0685645217308775e-06,0
692295,37445,3,22;-13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9824379086494446,0,0.0007303613238036633,0
371667,20024,2,22;13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9796121716499329,0,0.0009189790580421686,0
975584,52623,2,13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9781470894813538,1,0.9937064051628113,1
765352,41234,2,13;2112,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9772335290908813,0,0.0012804563157260418,0
133469,7260,3,-13;13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9765199422836304,0,0.00045498053077608347,0
676476,36598,2,2212;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9757857918739319,0,3.0094255635049194e-05,0
386988,20850,2,22;-13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9748780131340027,0,3.216891855117865e-05,0
116568,6311,2,22;22,multi_same_family,1,2,photon,2,photon,1,0.9746624827384949,0,0.8419032096862793,1
867539,46772,2,22;-13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9746432304382324,0,2.530546043999493e-05,0
283806,15315,3,13;22;-13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9745577573776245,0,0.001521328929811716,0
691896,37426,2,22;-13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9702587723731995,0,0.0008303369977511466,0
139160,7584,5,13;22;-13;13;13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9682624936103821,0,0.9667186141014099,1
612877,33103,4,22;22;-13;-13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9673441052436829,1,0.9719860553741455,1
830335,44806,3,11;13;22,multi_mixed_family,0,-1,mixed/unsupported,1,electron,0,0.9660863280296326,1,0.9815642237663269,1
165644,9016,2,2112;-13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9628498554229736,0,0.005141866859048605,0
